ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.17934 99.2203 0.779727 0 
60 0 2.17123 99.3151 0.684932 0 
70 0.147493 2.16248 99.2614 0.738552 0 
80 0 2.14665 96.3338 3.53982 0.126422 
90 0 2.13627 95.8155 3.96996 0.214592 
100 0 2.17577 93.4459 5.75968 0.794439 
110 0.0926784 2.16698 92.8571 6.02968 1.11317 
120 0.254237 2.11215 91.4189 7.39167 1.18946 
130 0.145666 2.1663 88.1838 9.04449 2.7717 
140 0.601202 2.10685 81.5188 13.7769 4.7043 
150 0.513809 2.14719 81.601 13.6217 4.77728 
160 1.02968 2.13709 81.9461 12.4235 5.63035 
170 1.17233 2.1121 80.2491 14.6501 5.10083 
180 1.38648 2.15641 78.8518 14.8213 6.32689 
190 2.03209 2.1381 77.7293 15.2838 6.9869 
200 2.9693 2.14419 74.6369 18.2054 7.15768 
