ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.2846 97.6608 2.14425 0.194932 
60 0 2.25685 92.8082 6.84932 0.342466 
70 0.437318 2.3675 84.9195 11.713 3.3675 
80 0.130208 2.2399 87.2229 10.0391 2.73794 
90 1.31148 2.33776 80.1772 14.0642 5.75858 
100 1.83113 2.29016 76.4767 15.6477 7.87565 
110 2.37869 2.34016 73.0019 18.8109 8.18713 
120 4.03023 2.30009 68.5039 20.9099 10.5862 
130 5.7648 2.39886 62.8059 20.0653 17.1289 
140 8.26271 2.35335 60.893 22.3249 16.7821 
150 10.3517 2.35751 60.9919 21.7617 17.2465 
160 10.296 2.33859 62.4103 19.8709 17.7188 
170 15.9639 2.37419 60.2867 19.2832 20.4301 
180 18.2566 2.31254 59.9598 19.7183 20.3219 
190 21.4929 2.34592 58.53 22.5219 18.9481 
200 23.795 2.31824 59.7204 21.1052 19.1744 
