ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.17934 100 0 0 
60 0 2.17123 100 0 0 
70 0 2.1895 100 0 0 
80 0 2.11849 100 0 0 
90 0 2.18142 98.3607 1.42077 0.218579 
100 0 2.17701 99.8983 0.101729 0 
110 0 2.22835 99.2388 0.76118 0 
120 0 2.19731 96.7254 3.27456 0 
130 0.076864 2.25077 93.3846 5.46154 1.15385 
140 0 2.28672 90.7486 7.98023 1.27119 
150 0.132714 2.28106 89.9003 8.10631 1.99336 
160 0.19305 2.22437 89.0393 9.28433 1.67634 
170 0.361446 2.2896 86.578 10.0363 3.38573 
180 0.328947 2.24697 84.2134 12.7063 3.08031 
190 0.847009 2.25788 80.9931 14.2018 4.80513 
200 0.811771 2.2977 80.5115 14.2199 5.26854 
