ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.22612 94.9318 4.48343 0.584795 
60 0 2.21918 91.6096 7.70548 0.684932 
70 0.145773 2.29051 82.4818 13.7226 3.79562 
80 0 2.20443 87.1094 10.026 2.86458 
90 0.437158 2.27552 79.2536 13.831 6.91548 
100 0.712106 2.28893 75.8197 14.7541 9.42623 
110 0.856327 2.33397 72.7447 17.4664 9.78887 
120 2.01511 2.29906 67.0094 19.88 13.1105 
130 3.22829 2.38999 62.1128 20.6513 17.2359 
140 6.42655 2.38566 61.9623 19.0189 19.0189 
150 8.4937 2.35751 60.5511 21.9724 17.4764 
160 8.42986 2.37878 61.3493 19.5362 19.1145 
170 13.7349 2.38757 59.986 19.2039 20.8101 
180 16.0088 2.34269 59.6606 18.9295 21.4099 
190 20.3812 2.34907 59.508 19.3484 21.1436 
200 21.8163 2.29007 60.6749 18.8189 20.5062 
