Arr_rate number Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
0.000277778 360000 237796 3963 1 2 2 5 3 10 4439,4981 476 2 2-4-5
0.000277778 360000 239985 3999 1 2 17 19 39 10 5104,5365 1105 1 17-19
0.000277778 360000 240989 4016 1 2 16 9 12 10 4211,4761 195 5 16-17-14-8-7-9
0.000277778 360000 245510 4091 1 2 14 8 2 10 4984,5151 893 1 14-8
0.000277778 360000 247268 4121 1 1 6 12 60 1 4466,5122,5168 0 5 6-3-7-8-14-12
0.000277778 360000 248000 4133 1 1 8 19 60 1 4367,5012,5104 0 3 8-11-18-19
0.000277778 360000 252377 4206 1 1 5 14 60 1 5012,5155,5269 0 5 5-4-10-11-8-14
0.000277778 360000 253950 4232 1 2 2 11 2 10 4602,5590 370 3 2-4-10-11
0.000277778 360000 262679 4377 1 2 7 1 43 10 4632,5175 255 2 7-3-1
0.000277778 360000 265045 4417 1 1 9 14 60 1 4788,5068,5406 0 3 9-7-8-14
0.000277778 360000 270696 4511 1 2 5 1 40 10 5741,5744 1230 3 5-4-3-1
0.000277778 360000 270725 4512 1 2 9 7 2 10 5024,5735 512 1 9-7
0.000277778 360000 277999 4633 1 1 4 5 60 1 4925,5091,5849 0 1 4-5
0.000277778 360000 279633 4660 1 1 2 17 60 1 4990,5165,5737 0 4 2-7-8-14-17
0.000277778 360000 279695 4661 1 1 4 5 60 1 5633,5730,5874 0 1 4-5
0.000277778 360000 281096 4684 1 2 9 5 20 10 5892,5951 1208 3 9-10-4-5
0.000277778 360000 282183 4703 1 2 14 17 5 10 5420,5621 717 1 14-17
0.000277778 360000 292207 4870 1 2 6 1 3 10 4918,5745 48 2 6-3-1
0.000277778 360000 295592 4926 1 1 3 8 60 1 5281,5356,5468 0 2 3-7-8
0.000277778 360000 298013 4966 1 1 19 5 60 1 5106,5350,5410 0 5 19-18-11-10-4-5
0.000277778 360000 303242 5054 1 2 1 4 19 10 5268,5706 214 2 1-3-4
0.000277778 360000 303347 5055 1 1 7 18 60 1 5343,6183,6267 0 3 7-8-11-18
0.000277778 360000 304952 5082 1 1 6 12 60 1 5575,5617,6019 0 5 6-3-7-8-14-12
0.000277778 360000 324020 5400 1 2 19 18 3 10 6318,6656 918 1 19-18
0.000277778 360000 325235 5420 1 2 4 12 42 10 5795,6036 375 5 4-10-11-8-14-12
0.000277778 360000 327464 5457 1 2 17 14 44 10 6387,6522 930 1 17-14
0.000277778 360000 331189 5519 1 2 9 5 11 10 6635,6822 1116 3 9-10-4-5
0.000277778 360000 331969 5532 1 2 4 9 3 10 5767,6374 235 2 4-10-9
0.000277778 360000 335666 5594 1 1 17 1 60 1 5987,6309,6779 0 4 17-14-8-7-1
0.000277778 360000 340654 5677 1 2 18 17 2 10 5959,6572 282 2 18-19-17
0.000277778 360000 340735 5678 1 1 15 17 60 1 6113,6413,6462 0 2 15-16-17
0.000277778 360000 342744 5712 1 1 9 7 60 1 6084,6124,6905 0 1 9-7
0.000277778 360000 342927 5715 1 1 13 10 60 1 6155,6293,7074 0 5 13-12-14-8-11-10
0.000277778 360000 349147 5819 1 1 1 9 60 1 6107,6971,7093 0 2 1-7-9
0.000277778 360000 351445 5857 1 2 5 11 9 10 6287,6970 430 3 5-4-10-11
0.000277778 360000 353724 5895 1 1 14 4 60 1 6060,6292,7136 0 4 14-8-11-10-4
0.000277778 360000 359998 5999 1 1 12 14 60 1 6400,6859,7347 0 1 12-14
0.000277778 360000 364275 6071 1 1 16 15 60 1 6316,6464,6850 0 1 16-15
0.000277778 3600000 2394.28 39 1 2 3 6 18 10 164,913 125 1 3-6
0.000277778 3600000 2582.66 43 1 1 13 3 60 1 124,195,590 0 5 13-12-14-8-7-3
0.000277778 3600000 3572.6 59 1 2 10 5 6 10 558,1297 499 2 10-4-5
0.000277778 3600000 7351.1 122 1 1 17 9 60 1 314,818,1373 0 4 17-14-8-7-9
0.000277778 3600000 13957.9 232 1 2 3 2 18 10 726,1029 494 2 3-7-2
0.000277778 3600000 18742.3 312 1 1 15 14 60 1 442,620,1039 0 2 15-12-14
0.000277778 3600000 26035.7 433 1 2 12 7 14 10 1555,1674 1122 3 12-14-8-7
0.000277778 3600000 26353.7 439 1 1 2 4 60 1 1264,1519,1664 0 1 2-4
0.000277778 3600000 27553.4 459 1 2 18 19 10 10 955,1532 496 1 18-19
0.000277778 3600000 35118.8 585 1 1 4 15 60 1 656,797,1958 0 6 4-10-11-8-14-12-15
0.000277778 3600000 42339.3 705 1 1 18 3 60 1 1023,1542,1592 0 4 18-11-8-7-3
0.000277778 3600000 42695.6 711 1 2 16 17 23 10 1429,1729 718 1 16-17
0.000277778 3600000 48509.5 808 1 2 9 14 7 10 2093,2182 1285 3 9-7-8-14
0.000277778 3600000 48997.1 816 1 2 1 8 59 10 2038,2125 1222 5 1-3-4-10-11-8
0.000277778 3600000 53180.2 886 1 1 14 19 60 1 1344,1697,2049 0 2 14-17-19
0.000277778 3600000 58028.9 967 1 1 7 17 60 1 1385,1521,2180 0 3 7-8-14-17
0.000277778 3600000 60610.5 1010 1 2 18 2 5 10 1875,2357 865 4 18-11-8-7-2
0.000277778 3600000 61892.5 1031 1 2 4 9 2 10 1606,1779 575 2 4-10-9
0.000277778 3600000 71106.5 1185 1 1 13 19 60 1 1583,1915,2405 0 4 13-15-16-17-19
0.000277778 3600000 75444.8 1257 1 2 12 10 24 10 1527,1891 270 4 12-14-8-11-10
0.000277778 3600000 77955.9 1299 1 2 4 14 36 10 1704,1956 405 4 4-10-11-8-14
0.000277778 3600000 84670.3 1411 1 2 12 5 56 10 1712,2025 329 6 12-14-8-11-10-4-5
0.000277778 3600000 94922 1582 1 1 12 19 60 1 2259,2295,2837 0 3 12-14-17-19
0.000277778 3600000 96712.2 1611 1 2 16 7 52 10 2525,2716 914 4 16-17-14-8-7
0.000277778 3600000 98155 1635 1 1 7 4 60 1 1706,2431,2456 0 2 7-3-4
0.000277778 3600000 102416 1706 1 1 7 16 60 1 2070,2098,2392 1 8 7-3-4-10-11-18-19-17-16
0.000277778 3600000 107868 1797 1 1 5 15 60 1 2446,2631,2720 0 7 5-4-10-11-8-14-12-15
0.000277778 3600000 111154 1852 1 1 7 18 60 1 1916,2142,3127 0 3 7-8-11-18
0.000277778 3600000 113437 1890 1 1 2 8 60 1 1981,2654,2764 0 2 2-7-8
0.000277778 3600000 126546 2109 1 1 14 10 60 1 2557,2765,2823 1 3 14-8-11-10
0.000277778 3600000 129652 2160 1 2 17 2 3 10 2900,3408 740 4 17-14-8-7-2
0.000277778 3600000 132952 2215 1 2 1 7 5 10 2696,3038 481 1 1-7
0.000277778 3600000 133447 2224 1 1 17 14 60 1 2722,2837,3035 0 1 17-14
0.000277778 3600000 137271 2287 1 1 13 19 60 1 2815,3071,3083 0 4 13-15-16-17-19
0.000277778 3600000 141049 2350 1 2 2 10 5 10 2968,3393 618 2 2-4-10
0.000277778 3600000 143454 2390 1 2 1 8 2 10 2523,3403 133 2 1-7-8
0.000277778 3600000 147200 2453 1 1 13 10 60 1 2652,2979,3467 0 5 13-12-14-8-11-10
0.000277778 3600000 151495 2524 1 2 3 6 2 10 3412,3718 888 1 3-6
0.000277778 3600000 156763 2612 1 2 19 14 12 10 2643,3494 31 2 19-17-14
0.000277778 3600000 157470 2624 1 1 14 15 60 1 2954,3014,3938 0 2 14-12-15
0.000277778 3600000 161218 2686 1 2 1 19 23 10 2775,3521 139 5 1-7-8-11-18-19
0.000277778 3600000 166679 2777 1 2 3 12 2 10 2950,3143 173 4 3-7-8-14-12
0.000277778 3600000 173262 2887 1 1 16 4 60 1 3186,3463,3990 0 6 16-17-19-18-11-10-4
0.000277778 3600000 178888 2981 1 1 4 7 60 1 3921,3997,4357 0 2 4-3-7
0.000277778 3600000 183708 3061 1 2 8 13 54 10 3267,3287 206 3 8-14-12-13
0.000277778 3600000 185141 3085 1 2 7 5 32 10 3461,4211 376 3 7-3-4-5
0.000277778 3600000 185518 3091 1 1 11 12 60 1 3108,3236,4180 0 3 11-8-14-12
0.000277778 3600000 190326 3172 1 1 7 9 60 1 3276,3699,4186 0 1 7-9
0.000277778 3600000 191107 3185 1 1 9 17 60 1 3236,3593,3753 0 5 9-10-11-18-19-17
0.000277778 3600000 207175 3452 1 2 8 1 2 10 4646,4838 1194 2 8-7-1
0.000277778 3600000 207513 3458 1 2 9 19 20 10 4070,4623 612 4 9-10-11-18-19
0.000277778 3600000 212512 3541 1 2 7 6 2 10 3635,4097 94 2 7-3-6
0.000277778 3600000 212967 3549 1 2 11 9 6 10 4148,4679 599 2 11-10-9
0.000277778 3600000 216234 3603 1 1 3 9 60 1 3819,4411,4916 0 2 3-7-9
0.000277778 3600000 233078 3884 1 2 3 14 28 10 4112,4462 228 3 3-7-8-14
0.000277778 3600000 236141 3935 1 2 11 12 15 10 4278,4829 343 3 11-8-14-12
0.000277778 3600000 237796 3963 1 2 2 5 3 10 4439,4981 476 2 2-4-5
0.000277778 3600000 239985 3999 1 2 17 19 39 10 5104,5365 1105 1 17-19
0.000277778 3600000 240989 4016 1 2 16 9 12 10 4211,4761 195 5 16-17-14-8-7-9
0.000277778 3600000 245510 4091 1 2 14 8 2 10 4984,5151 893 1 14-8
0.000277778 3600000 247268 4121 1 1 6 12 60 1 4466,5122,5168 0 5 6-3-7-8-14-12
0.000277778 3600000 248000 4133 1 1 8 19 60 1 4367,5012,5104 0 3 8-11-18-19
0.000277778 3600000 252377 4206 1 1 5 14 60 1 5012,5155,5269 0 5 5-4-10-11-8-14
0.000277778 3600000 253950 4232 1 2 2 11 2 10 4602,5590 370 3 2-4-10-11
0.000277778 3600000 262679 4377 1 2 7 1 43 10 4632,5175 255 2 7-3-1
0.000277778 3600000 265045 4417 1 1 9 14 60 1 4788,5068,5406 0 3 9-7-8-14
0.000277778 3600000 270696 4511 1 2 5 1 40 10 5741,5744 1230 3 5-4-3-1
0.000277778 3600000 270725 4512 1 2 9 7 2 10 5024,5735 512 1 9-7
0.000277778 3600000 277999 4633 1 1 4 5 60 1 4925,5091,5849 0 1 4-5
0.000277778 3600000 279633 4660 1 1 2 17 60 1 4990,5165,5737 0 4 2-7-8-14-17
0.000277778 3600000 279695 4661 1 1 4 5 60 1 5633,5730,5874 0 1 4-5
0.000277778 3600000 281096 4684 1 2 9 5 20 10 5892,5951 1208 3 9-10-4-5
0.000277778 3600000 282183 4703 1 2 14 17 5 10 5420,5621 717 1 14-17
0.000277778 3600000 292207 4870 1 2 6 1 3 10 4918,5745 48 2 6-3-1
0.000277778 3600000 295592 4926 1 1 3 8 60 1 5281,5356,5468 0 2 3-7-8
0.000277778 3600000 298013 4966 1 1 19 5 60 1 5106,5350,5410 0 5 19-18-11-10-4-5
0.000277778 3600000 303242 5054 1 2 1 4 19 10 5268,5706 214 2 1-3-4
0.000277778 3600000 303347 5055 1 1 7 18 60 1 5343,6183,6267 0 3 7-8-11-18
0.000277778 3600000 304952 5082 1 1 6 12 60 1 5575,5617,6019 0 5 6-3-7-8-14-12
0.000277778 3600000 324020 5400 1 2 19 18 3 10 6318,6656 918 1 19-18
0.000277778 3600000 325235 5420 1 2 4 12 42 10 5795,6036 375 5 4-10-11-8-14-12
0.000277778 3600000 327464 5457 1 2 17 14 44 10 6387,6522 930 1 17-14
0.000277778 3600000 331189 5519 1 2 9 5 11 10 6635,6822 1116 3 9-10-4-5
0.000277778 3600000 331969 5532 1 2 4 9 3 10 5767,6374 235 2 4-10-9
0.000277778 3600000 335666 5594 1 1 17 1 60 1 5987,6309,6779 0 4 17-14-8-7-1
0.000277778 3600000 340654 5677 1 2 18 17 2 10 5959,6572 282 2 18-19-17
0.000277778 3600000 340735 5678 1 1 15 17 60 1 6113,6413,6462 0 2 15-16-17
0.000277778 3600000 342744 5712 1 1 9 7 60 1 6084,6124,6905 0 1 9-7
0.000277778 3600000 342927 5715 1 1 13 10 60 1 6155,6293,7074 0 5 13-12-14-8-11-10
0.000277778 3600000 349147 5819 1 1 1 9 60 1 6107,6971,7093 0 2 1-7-9
0.000277778 3600000 351445 5857 1 2 5 11 9 10 6287,6970 430 3 5-4-10-11
0.000277778 3600000 353724 5895 1 1 14 4 60 1 6060,6292,7136 0 4 14-8-11-10-4
0.000277778 3600000 359998 5999 1 1 12 14 60 1 6400,6859,7347 0 1 12-14
0.000277778 3600000 364275 6071 1 1 16 15 60 1 6316,6464,6850 0 1 16-15
0.000277778 3600000 368619 6143 1 2 15 3 16 10 6461,6535 318 5 15-12-14-8-7-3
0.000277778 3600000 378582 6309 1 2 6 4 9 10 6582,7035 273 1 6-4
0.000277778 3600000 378953 6315 1 1 19 4 60 1 6690,7091,7125 0 4 19-18-11-10-4
0.000277778 3600000 380405 6340 1 2 4 13 27 10 7292,7481 952 6 4-10-11-8-14-12-13
0.000277778 3600000 382236 6370 1 2 12 7 3 10 7345,7746 975 3 12-14-8-7
0.000277778 3600000 382928 6382 1 2 13 2 2 10 6660,6744 278 5 13-12-14-8-7-2
0.000277778 3600000 384793 6413 1 1 4 5 60 1 6500,6575,7230 0 1 4-5
0.000277778 3600000 386547 6442 1 1 10 15 60 1 6887,7128,7396 0 5 10-11-8-14-12-15
0.000277778 3600000 386635 6443 1 2 4 14 12 10 6474,6663 31 6 4-10-11-18-19-17-14
0.000277778 3600000 387653 6460 1 2 15 4 23 10 6695,6935 235 6 15-12-14-8-7-3-4
0.000277778 3600000 388314 6471 1 1 2 19 60 1 7003,7684,7745 0 5 2-4-10-11-18-19
0.000277778 3600000 390692 6511 1 1 19 10 60 1 6679,7412,7600 0 3 19-18-11-10
0.000277778 3600000 391023 6517 1 2 4 14 13 10 6931,7187 430 4 4-10-11-8-14
0.000277778 3600000 399746 6662 1 2 14 18 2 10 6813,7389 151 3 14-17-19-18
0.000277778 3600000 400892 6681 1 2 6 17 47 10 6927,7732 279 5 6-3-7-8-14-17
0.000277778 3600000 400915 6681 1 2 9 18 9 10 6796,7445 115 3 9-10-11-18
0.000277778 3600000 408279 6804 1 1 7 1 60 1 7017,7696,8157 0 1 7-1
0.000277778 3600000 408503 6808 1 1 17 8 60 1 7397,7847,8108 0 2 17-14-8
0.000277778 3600000 410439 6840 1 1 19 6 60 1 7165,7586,7853 0 5 19-18-11-10-4-6
