Arr_Time  arr_TS  is_acc  is_USST src  dest  dur  rate  ARopt  selectedOp  pathLen  path
6.80261 6 1 1 1 3 1 1 11 0 1 1-3
11.2776 11 1 1 3 1 1 1 19 0 1 3-1
15.0625 15 1 1 3 1 1 1 16 0 1 3-1
18.435 18 1 1 3 2 1 1 24 0 1 3-2
26.6468 26 1 1 1 3 1 1 27 0 1 1-3
39.8343 39 1 1 1 2 1 1 41 0 1 1-2
50.1763 50 1 1 3 1 1 1 56 0 1 3-1
57.7176 57 1 1 3 2 1 1 61 0 1 3-2
57.9589 57 1 1 3 1 1 1 64 0 1 3-1
62.115 62 1 1 3 2 1 1 64 0 1 3-2
74.355 74 1 1 1 3 1 1 81 0 1 1-3
84.095 84 1 1 1 2 1 1 87 0 1 1-2
94.8337 94 1 1 3 1 1 1 96 0 1 3-1
102.079 102 1 1 3 1 1 1 106 0 1 3-1
104.26 104 1 1 3 2 1 1 111 0 1 3-2
118.247 118 1 1 2 3 1 1 127 0 1 2-3
154.457 154 1 1 3 1 1 1 163 0 1 3-1
170.047 170 1 1 1 3 1 1 175 0 1 1-3
181.639 181 1 1 1 2 1 1 184 0 1 1-2
189.009 189 1 1 2 3 1 1 197 0 1 2-3
190.195 190 1 1 2 1 1 1 196 0 1 2-1
239.232 239 1 1 1 2 1 1 242 0 1 1-2
261.609 261 1 1 3 2 1 1 266 0 1 3-2
285.581 285 1 1 3 1 1 1 292 0 1 3-1
315.583 315 1 1 3 2 1 1 320 0 1 3-2
328.131 328 1 1 1 2 1 1 334 0 1 1-2
332.921 332 1 1 1 3 1 1 339 0 1 1-3
341.844 341 1 1 2 1 1 1 349 0 1 2-1
369.962 369 1 1 3 2 1 1 376 0 1 3-2
371.91 371 1 1 2 1 1 1 375 0 1 2-1
408.91 408 1 1 2 3 1 1 410 0 1 2-3
414.185 414 1 1 2 3 1 1 418 0 1 2-3
436.834 436 1 1 1 2 1 1 443 0 1 1-2
442.353 442 1 1 3 2 1 1 444 0 1 3-2
450.613 450 1 1 1 2 1 1 454 0 1 1-2
471.345 471 1 1 1 3 1 1 478 0 1 1-3
476.475 476 1 1 3 2 1 1 481 0 1 3-2
494.99 494 1 1 3 1 1 1 501 0 1 3-1
514.268 514 1 1 1 3 1 1 516 0 1 1-3
519.014 519 1 1 3 2 1 1 521 0 1 3-2
