ARrate CBP avgLength FirstARperc SecondARperc ThirdARperc 
50 0 2.21639 100 0 0 
60 0 2.15491 100 0 0 
70 0 2.16841 100 0 0 
80 0 2.13551 100 0 0 
90 0 2.125 100 0 0 
100 0 2.13306 100 0 0 
110 0 2.13977 100 0 0 
120 0 2.196 100 0 0 
130 0 2.16891 100 0 0 
140 0 2.17981 100 0 0 
150 0 2.15563 100 0 0 
160 0 2.17427 100 0 0 
170 0.0555556 2.17454 100 0 0 
180 0.276855 2.20711 100 0 0 
190 0.257998 2.19348 100 0 0 
200 0.250752 2.20714 100 0 0 
